date,close,diff,open,high,low,volume
2019-08-06,5020,400,5020,5520,4940,683949
2019-08-07,5240,220,5020,5280,5020,352614
2019-08-08,5440,200,5250,5520,5220,218345
2019-08-09,5480,40,5500,5590,5430,113979
2019-08-12,5550,70,5440,5600,5390,145710
2019-08-13,5550,0,5540,5610,5470,92249
2019-08-14,5520,30,5610,5610,5490,149357
2019-08-16,5430,90,5450,5450,5260,140043
2019-08-19,5430,0,5460,5500,5400,96997
2019-08-20,5630,200,5410,5630,5410,168757
2019-08-21,5750,120,5630,5890,5580,255374
2019-08-22,5730,20,5850,5850,5700,130037
2019-08-23,5670,60,5680,5740,5610,103301
2019-08-26,5380,290,5450,5540,5360,132853
2019-08-27,5400,20,5490,5650,5390,165306
2019-08-28,5600,200,5450,6160,5350,741558
2019-08-29,5710,110,5700,5910,5580,514839
2019-08-30,5880,170,5720,5890,5720,217708
2019-09-02,5900,20,5890,5950,5800,172536
2019-09-03,5990,90,5900,5990,5860,142819
2019-09-04,6070,80,5990,6150,5940,177851
2019-09-05,6050,20,6150,6160,6030,134077
2019-09-06,6070,20,6070,6110,6000,85538
2019-09-09,5980,90,6070,6130,5960,88095
2019-09-10,6020,40,6250,6250,5990,95005
2019-09-11,6040,20,6020,6080,6010,70213
2019-09-16,6110,70,6100,6140,6020,122845
2019-09-17,6180,70,6010,6260,6010,248552
2019-09-18,6140,40,6270,6270,6120,120481
2019-09-19,6100,40,6090,6260,6080,185814
2019-09-20,6090,10,6150,6160,6080,66671
2019-09-23,6050,40,6070,6160,6010,86388
2019-09-24,6130,80,6050,6190,6040,92944
2019-09-25,5940,190,6130,6190,5800,109782
2019-09-26,6010,70,5980,6320,5970,747309
2019-09-27,6180,170,6030,6230,5990,235676
2019-09-30,6230,50,6290,6300,6100,300972
2019-10-01,6410,180,6180,6500,6150,615435
2019-10-02,6210,200,6350,6350,6200,279122
2019-10-04,6080,130,6180,6240,6080,131742
2019-10-07,6260,180,6080,6260,6010,150630
2019-10-08,6130,130,6290,6290,6110,149068
2019-10-10,6120,10,6110,6180,6080,89124
2019-10-11,6210,90,6130,6230,6110,90343
2019-10-14,6190,20,6190,6260,6170,110664
2019-10-15,6340,150,6170,6560,6170,572321
2019-10-16,6360,20,6340,6390,6270,207350
2019-10-17,6250,110,6370,6430,6230,141409
2019-10-18,6200,50,6230,6290,6190,83837
2019-10-21,6120,80,6200,6270,6100,105660
2019-10-22,6080,40,6200,6230,6080,199672
2019-10-23,6480,400,6150,6960,6100,3154438
2019-10-24,6190,290,6500,6570,6170,613984
2019-10-25,6140,50,6190,6250,6120,363497
