date,close,diff,open,high,low,volume
2020-07-01,297000,6000,294000,302500,291000,1486526
2020-07-02,278500,18500,308500,308500,268000,2892772
2020-07-03,272000,6500,281000,282000,268500,1221250
2020-07-06,262000,10000,270000,270500,259000,1404485
2020-07-07,261000,1000,267500,273000,260500,1160569
2020-07-08,252500,8500,259500,263000,251000,1043042
2020-07-09,243500,9000,252500,255000,243500,977816
2020-07-10,240500,3000,244500,248000,238000,1070262
2020-07-13,242500,2000,243500,248000,240500,509920
2020-07-14,231500,11000,240500,241500,230000,729003
2020-07-15,237000,5500,235500,243000,234500,668387
2020-07-16,236000,1000,236000,243000,234500,369479
2020-07-17,234000,2000,237500,239000,232500,261684
2020-07-20,231000,3000,234500,235000,228000,340707
2020-07-21,233500,2500,232500,237000,229000,387329
2020-07-22,235500,2000,240500,244500,235000,617710
2020-07-23,230000,5500,235000,235000,228000,380115
2020-07-24,224500,5500,227500,227500,223500,391726
2020-07-27,226500,2000,225500,232000,225000,274174
2020-07-28,226500,0,228000,228500,224000,314574
2020-07-29,223500,3000,224500,225000,220500,325856
2020-07-30,227500,4000,225000,231500,224000,347939
2020-07-31,221500,6000,227000,229500,221000,259316
2020-08-03,217500,4000,221000,221000,215500,328587
2020-08-04,229500,12000,220500,229500,219000,464562
2020-08-05,240500,11000,231500,241000,226000,721764
2020-08-06,236500,4000,241500,243500,233500,501913
2020-08-07,242500,6000,237000,245000,236500,522264
2020-08-10,244500,2000,244000,247500,239000,487359
2020-08-11,240500,4000,246000,246000,239000,285097
2020-08-12,240000,500,239000,241500,236500,270686
2020-08-13,237500,2500,242000,242500,235500,321381
2020-08-14,233500,4000,239500,240000,229500,287596
2020-08-18,222500,11000,234000,235000,220500,304434
2020-08-19,222500,0,221500,226000,221500,193504
2020-08-20,209500,13000,221000,223000,209000,396676
2020-08-21,211500,2000,211500,217000,205000,327055
2020-08-24,212000,500,211000,214000,206000,199536
2020-08-25,222000,10000,215500,222500,213000,237042
2020-08-26,218500,3500,222000,222000,215000,192270
2020-08-27,215000,3500,219500,221000,215000,185905
2020-08-28,224000,9000,218500,230000,218000,446589
2020-08-31,214000,10000,224000,227500,212500,487729
2020-09-01,214500,500,213500,215500,210500,200276
2020-09-02,217500,3000,214500,217500,213000,159873
2020-09-03,216500,1000,218000,218000,215500,181062
2020-09-04,212000,4500,209500,212000,209000,284708
2020-09-07,213000,1000,213000,214000,209500,220248
2020-09-08,213500,500,214000,216000,211000,227472
2020-09-09,210000,3500,209500,211000,209000,214690
2020-09-10,211000,1000,212000,214000,210000,232670
2020-09-11,210500,500,211000,211500,208000,148442
2020-09-14,211500,1000,210500,212000,208500,149167
2020-09-15,212000,500,211500,212000,210000,136374
2020-09-16,215000,3000,211000,221000,210500,437232
2020-09-17,211500,3500,218000,218000,211000,237037
2020-09-18,210500,1000,213000,213000,209000,106084
